Id,String
HELLO,やあ
BYE,じゃあな
YOU DIE,あなたは死ぬ
Item1Name,剣
Item2Name,盾
Item3Name,弓
Item4Name,ポーション
Item1Desc,これは剣だ。
Item2Desc,これは盾だ。
Item3Desc,これは弓だ。
Item4Desc,これはポーションだ。
Char1Name,キムせんし
Char2Name,キムまほう
Char3Name,キムゆみて
Char4Name,キムとうぞく
Char1Job,せんし
Char2Job,ウォリアー
Char3Job,ゆみて
Char4Job,とうぞく
Stat_Attack,こうげきりょく
Stat_Defend,ぼうぎょりょく
Stat_Health,たいりょく
NAME,なまえ
JOB,しょくぎょう
DESC,せつめい
TYPE,タイプ
VALUE,バリュー
COST,コスト
WEAPON,ぶき
EQUIP,そうび
CONSUMABLE,しょうひひん
SORT_ATTACK_ASC,こうげきりょくじゅん↑
SORT_ATTACK_DESC,こうげきりょくじゅん↓
SORT_DEFEND_ASC,ぼうぎょりょくじゅん↑
SORT_DEFEND_DESC,ぼうぎょりょくじゅん↓
SORT_HEALTH_ASC,たいりょくじゅん↑
SORT_HEALTH_DESC,たいりょくじゅん↓
FILTER_HIGH_ATTACK,こうこうげきりょく
FILTER_LOW_ATTACK,ていこうげきりょく
SORT_CREATION_ASC,さくせいじゅん↑
SORT_CREATION_DESC,さくせいじゅん↓
SORT_NAME_ASC,なまえじゅん↑
SORT_NAME_DESC,なまえじゅん↓
SORT_VALUE_ASC,バリューじゅん↑
SORT_VALUE_DESC,バリューじゅん↓
SORT_COST_ASC,コストじゅん↑
SORT_COST_DESC,コストじゅん↓
FILTER_NONE,ぜんぶ
FILTER_WEAPON,ぶき
FILTER_EQUIP,そうび
FILTER_CONSUMABLE,しょうひひん
FILTER_NONE_CONSUMABLE,しょうひひん以外
BTN_ADD,アイテム追加
BTN_REMOVE,削除
BTN_SAVE,ほぞん
BTN_LOAD,よみこみ
